user_id,problem_id
30000,1000
30000,1001
30000,1002
30000,1008
30000,1018
30000,1065
30000,1085
30000,1110
30000,1152
30000,1157
30000,1193
30000,1316
30000,1330
30000,1436
30000,1546
30000,1712
30000,1929
30000,1978
30000,2231
30000,2292
30000,2438
30000,2439
30000,2447
30000,2480
30000,2525
30000,2557
30000,2562
30000,2577
30000,2581
30000,2588
30000,2675
30000,2739
30000,2741
30000,2742
30000,2753
30000,2775
30000,2798
30000,2839
30000,2869
30000,2884
30000,2908
30000,2941
30000,3009
30000,3052
30000,3053
30000,4153
30000,4344
30000,4673
30000,4948
30000,5622
30000,7568
30000,8393
30000,8958
30000,9020
30000,9498
30000,10171
30000,10172
30000,10250
30000,10430
30000,10718
30000,10757
30000,10809
30000,10818
30000,10869
30000,10870
30000,10871
30000,10872
30000,10926
30000,10950
30000,10951
30000,10952
30000,10998
30000,11021
30000,11022
30000,11653
30000,11654
30000,11720
30000,11729
30000,14681
30000,15552
30000,15596
30000,18108
30001,1000
30001,1001
30001,1002
30001,1003
30001,1008
30001,1110
30001,1152
30001,1181
30001,1436
30001,1546
30001,1924
30001,1929
30001,2231
30001,2438
30001,2439
30001,2440
30001,2441
30001,2490
30001,2557
30001,2558
30001,2577
30001,2739
30001,2741
30001,2742
30001,2750
30001,2751
30001,2798
30001,2839
30001,2960
30001,4344
30001,4673
30001,4948
30001,5543
30001,5565
30001,7287
30001,7568
30001,8393
30001,8958
30001,9498
30001,10039
30001,10172
30001,10430
30001,10718
30001,10797
30001,10809
30001,10817
30001,10828
30001,10869
30001,10871
30001,10872
30001,10886
30001,10951
30001,10998
30001,11654
30001,11718
30001,11719
30001,11720
30001,11721
30001,15552
30001,15686
30001,17263
30001,17264
30001,23972
30002,1000
30002,1001
30002,1008
30002,1009
30002,1018
30002,1065
30002,1085
30002,1100
30002,1110
30002,1152
30002,1157
30002,1259
30002,1316
30002,1330
30002,1546
30002,1550
30002,1654
30002,1712
30002,1929
30002,1978
30002,2292
30002,2438
30002,2439
30002,2475
30002,2557
30002,2562
30002,2577
30002,2588
30002,2675
30002,2739
30002,2741
30002,2742
30002,2753
30002,2798
30002,2805
30002,2884
30002,2908
30002,2920
30002,2941
30002,3052
30002,4153
30002,4344
30002,4673
30002,5622
30002,8393
30002,8958
30002,9498
30002,10171
30002,10172
30002,10430
30002,10718
30002,10809
30002,10818
30002,10828
30002,10845
30002,10869
30002,10871
30002,10926
30002,10950
30002,10951
30002,10952
30002,10998
30002,11021
30002,11022
30002,11654
30002,11720
30002,14681
30002,15552
30002,15596
30002,18108
30002,18111
30003,1000
30003,1001
30003,1003
30003,1008
30003,1110
30003,1149
30003,1330
30003,1463
30003,1546
30003,1904
30003,1932
30003,1978
30003,2438
30003,2439
30003,2557
30003,2562
30003,2577
30003,2579
30003,2581
30003,2588
30003,2675
30003,2739
30003,2741
30003,2742
30003,2753
30003,2869
30003,2884
30003,3052
30003,4344
30003,8393
30003,8958
30003,9012
30003,9184
30003,9461
30003,9498
30003,10039
30003,10171
30003,10172
30003,10430
30003,10718
30003,10773
30003,10809
30003,10818
30003,10828
30003,10866
30003,10869
30003,10871
30003,10950
30003,10951
30003,10952
30003,10998
30003,11021
30003,11022
30003,11654
30003,11720
30003,11726
30003,14681
30003,15552
30003,15596
30003,15988
30003,17298
30003,17952
30004,1002
30004,1011
30004,1085
30004,1152
30004,1655
30004,1712
30004,1929
30004,2292
30004,2447
30004,2675
30004,2839
30004,2869
30004,2941
30004,3053
30004,3190
30004,3197
30004,4948
30004,5622
30004,9020
30004,10250
30004,10809
30004,10830
30004,10870
30004,10872
30004,11401
30004,11720
30004,11726
30004,11729
30004,12865
30004,13458
30004,13460
30004,14499
30004,14500
30004,14501
30004,14502
30004,14503
30004,14888
30004,14889
30004,14890
30004,14891
30004,15683
30004,15684
30004,15685
30004,15686
30004,16234
30004,16235
30004,16236
30004,17142
30004,17143
30004,17144
30004,20055
30004,20056
30004,20057
30004,20058
30005,1000
30005,1001
30005,1008
30005,1011
30005,1065
30005,1110
30005,1152
30005,1157
30005,1193
30005,1316
30005,1330
30005,1546
30005,1712
30005,1929
30005,1978
30005,2292
30005,2438
30005,2439
30005,2557
30005,2562
30005,2577
30005,2581
30005,2588
30005,2675
30005,2739
30005,2741
30005,2742
30005,2753
30005,2775
30005,2839
30005,2869
30005,2884
30005,2908
30005,2941
30005,3052
30005,4344
30005,4673
30005,4948
30005,5622
30005,8393
30005,8958
30005,9498
30005,10171
30005,10172
30005,10250
30005,10430
30005,10718
30005,10757
30005,10809
30005,10818
30005,10869
30005,10871
30005,10950
30005,10951
30005,10952
30005,10998
30005,11021
30005,11022
30005,11049
30005,11653
30005,11654
30005,11720
30005,14681
30005,15552
30005,15596
30006,1026
30006,1110
30006,1157
30006,1193
30006,1330
30006,1427
30006,1439
30006,1541
30006,1546
30006,1712
30006,1789
30006,1978
30006,2217
30006,2292
30006,2438
30006,2439
30006,2557
30006,2562
30006,2577
30006,2581
30006,2675
30006,2739
30006,2741
30006,2742
30006,2750
30006,2751
30006,2753
30006,2798
30006,2839
30006,2864
30006,2869
30006,2884
30006,2908
30006,3052
30006,4673
30006,5585
30006,5622
30006,8393
30006,8958
30006,9498
30006,10162
30006,10610
30006,10809
30006,10818
30006,10871
30006,10950
30006,10952
30006,11047
30006,11399
30006,11653
30006,11654
30006,11720
30006,14681
30006,15552
30006,15596
30006,16953
30007,1000
30007,1018
30007,1149
30007,1152
30007,1316
30007,1915
30007,1927
30007,1932
30007,1977
30007,2003
30007,2156
30007,2293
30007,2579
30007,2583
30007,2741
30007,2747
